,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)"
0,6209.0,161.05653084232566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,4296.275862068966,2120.0,7755.0,6483.0,6915.0,87.0,443.0,1.0,1295.0,1295.0,1295.0,1295.0,1295.0,470.0,8297.965957446808,4304.0,17119.0,11183.0,12895.0,470.0,443.0,4103.591422121896,1870.0,8631.0,5819.0,6991.0
1,8440.0,118.48341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,9259.927710843374,2088.0,140927.0,7195.0,140543.0,83.0,400.0,1.0,1383.0,1383.0,1383.0,1383.0,1383.0,517.0,10556.261121856867,3960.0,211583.0,11631.0,134143.0,517.0,400.0,5239.65,1888.0,139903.0,6455.0,11903.0
2,6189.0,161.57699143641946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4113.08,2118.0,6699.0,5703.0,6611.0,75.0,438.0,1.0,953.0,953.0,953.0,953.0,953.0,487.0,8209.802874743327,4368.0,18479.0,11159.0,11807.0,487.0,438.0,4016.8173515981734,1876.0,7527.0,5583.0,6735.0
3,6341.0,157.70383220312254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4274.609756097561,2210.0,6823.0,5875.0,6643.0,82.0,414.0,1.0,1124.0,1124.0,1124.0,1124.0,1124.0,504.0,8139.242063492064,4228.0,13823.0,10919.0,12311.0,504.0,414.0,4099.966183574879,1889.0,23199.0,5675.0,6935.0
4,6308.0,158.5288522511097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,4174.77027027027,2092.0,7115.0,5555.0,6879.0,74.0,430.0,1.0,2281.0,2280.0,2281.0,2281.0,2281.0,496.0,8273.834677419354,4256.0,13287.0,11079.0,12431.0,496.0,430.0,4113.558139534884,1673.0,25375.0,5991.0,7347.0
5,6568.0,152.25334957369063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4557.619047619048,3158.0,7923.0,6655.0,7599.0,84.0,422.0,1.0,2989.0,2988.0,2989.0,2989.0,2989.0,494.0,8661.457489878543,4256.0,13687.0,11303.0,12671.0,494.0,422.0,4239.575829383886,2072.0,16367.0,5743.0,7875.0
